"","gene","variable","value","region","stage"
"70","Solyc03g083880.2.1","a1.leaf",-0.748986722069069,"leaf","1"
"71","Solyc03g110890.1.1","a1.leaf",-0.671777179685003,"leaf","1"
"72","Solyc04g014830.1.1","a1.leaf",-1.52054816703185,"leaf","1"
"73","Solyc05g007640.2.1","a1.leaf",-0.4708233842278,"leaf","1"
"74","Solyc05g043410.1.1","a1.leaf",-0.894584327765452,"leaf","1"
"75","Solyc05g055540.1.1","a1.leaf",-0.620882971410142,"leaf","1"
"76","Solyc06g071610.1.1","a1.leaf",-0.827010688912149,"leaf","1"
"77","Solyc06g074240.1.1","a1.leaf",-0.615401512958299,"leaf","1"
"78","Solyc07g005170.1.1","a1.leaf",-0.0948151883029264,"leaf","1"
"79","Solyc07g008440.2.1","a1.leaf",-0.516473415577518,"leaf","1"
"80","Solyc07g043250.1.1","a1.leaf",-0.632495040433501,"leaf","1"
"81","Solyc07g047640.2.1","a1.leaf",-0.444775722030675,"leaf","1"
"82","Solyc07g049550.2.1","a1.leaf",0.00501817721979929,"leaf","1"
"83","Solyc08g016310.2.1","a1.leaf",-0.036261169506224,"leaf","1"
"84","Solyc08g022180.1.1","a1.leaf",-0.736853294652245,"leaf","1"
"85","Solyc09g064490.1.1","a1.leaf",-0.443338218540465,"leaf","1"
"86","Solyc09g082550.2.1","a1.leaf",-1.18903229228078,"leaf","1"
"87","Solyc09g098250.2.1","a1.leaf",0.292125411997161,"leaf","1"
"88","Solyc10g017610.1.1","a1.leaf",-1.61832362264044,"leaf","1"
"89","Solyc10g083410.1.1","a1.leaf",-0.709918917545311,"leaf","1"
"90","Solyc11g031950.1.1","a1.leaf",0.378505305682858,"leaf","1"
"91","Solyc11g040170.1.1","a1.leaf",-1.32525650797364,"leaf","1"
"92","Solyc12g044180.1.1","a1.leaf",-0.460493492734883,"leaf","1"
"93","Solyc12g049500.1.1","a1.leaf",-0.862475560112325,"leaf","1"
"94","Solyc12g088640.1.1","a1.leaf",-0.614486278998249,"leaf","1"
"95","Solyc03g078120.2.1","a1.leaf",-0.47395597882031,"leaf","1"
"96","Solyc03g118450.1.1","a1.leaf",-0.976118702941009,"leaf","1"
"97","Solyc06g050160.2.1","a1.leaf",-0.783790583169298,"leaf","1"
"98","Solyc03g082550.2.1","a1.leaf",-0.444775722030675,"leaf","1"
"99","Solyc09g007710.2.1","a1.leaf",-0.595562948018381,"leaf","1"
"100","Solyc00g230080.1.1","a1.leaf",-0.834906776484868,"leaf","1"
"101","Solyc01g007780.2.1","a1.leaf",-0.592012431960275,"leaf","1"
"102","Solyc01g112050.2.1","a1.leaf",-0.474270048219489,"leaf","1"
"103","Solyc02g082050.2.1","a1.leaf",-0.658963321948411,"leaf","1"
